antecedents,antecedents_description,consequents,consequents_description,support,confidence,lift
20975,12 PENCILS SMALL TUBE RED RETROSPOT,20974,12 PENCILS SMALL TUBE SKULL,0.00548195523069895,0.3636363636363637,25.78137651821863
20974,12 PENCILS SMALL TUBE SKULL,20975,12 PENCILS SMALL TUBE RED RETROSPOT,0.00548195523069895,0.38866396761133604,25.781376518218625
22150,3 STRIPEY MICE FELTCRAFT,22149,FELTCRAFT 6 FLOWER FRIENDS,0.005824577432617634,0.2982456140350877,12.37648623929492
22150,3 STRIPEY MICE FELTCRAFT,22147,FELTCRAFT BUTTERFLY HEARTS,0.0061671996345363175,0.3157894736842105,13.964912280701753
23354,6 GIFT TAGS 50'S CHRISTMAS ,23351,ROLL WRAP 50'S CHRISTMAS,0.0051964367291000456,0.4396135265700483,33.04082436607162
23354,6 GIFT TAGS 50'S CHRISTMAS ,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,0.005139333028780265,0.43478260869565216,37.14103923647932
23353,6 GIFT TAGS VINTAGE CHRISTMAS ,23354,6 GIFT TAGS 50'S CHRISTMAS ,0.005139333028780265,0.43902439024390244,37.14103923647932
22077,6 RIBBONS RUSTIC CHARM,85049G,CHOCOLATE BOX RIBBONS ,0.005710370031978072,0.16694490818030053,16.33262140811968
22077,6 RIBBONS RUSTIC CHARM,47566,PARTY BUNTING,0.005139333028780265,0.15025041736227046,2.0701694011393235
22077,6 RIBBONS RUSTIC CHARM,21212,PACK OF 72 RETROSPOT CAKE CASES,0.005253540429419826,0.15358931552587646,3.186796319299939
22077,6 RIBBONS RUSTIC CHARM,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0061671996345363175,0.18030050083472454,1.803210948382465
22077,6 RIBBONS RUSTIC CHARM,85049E,SCANDINAVIAN REDS RIBBONS,0.005824577432617634,0.17028380634390652,11.168576841552401
22951,60 CAKE CASES DOLLY GIRL DESIGN,84992,72 SWEETHEART FAIRY CAKE CASES,0.0053677478300593875,0.3381294964028777,14.372145002444647
22951,60 CAKE CASES DOLLY GIRL DESIGN,84991,60 TEATIME FAIRY CAKE CASES,0.006452718136135222,0.4064748201438849,12.71104830421377
22951,60 CAKE CASES DOLLY GIRL DESIGN,22417,PACK OF 60 SPACEBOY CAKE CASES,0.006795340338053906,0.42805755395683454,22.443544565545167
22951,60 CAKE CASES DOLLY GIRL DESIGN,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.006738236637734125,0.4244604316546763,12.684558155523362
22951,60 CAKE CASES DOLLY GIRL DESIGN,21212,PACK OF 72 RETROSPOT CAKE CASES,0.007480584741891274,0.4712230215827338,9.777319376726108
22951,60 CAKE CASES DOLLY GIRL DESIGN,21975,PACK OF 60 DINOSAUR CAKE CASES,0.005881681132937414,0.3705035971223022,15.230654912689568
22952,60 CAKE CASES VINTAGE CHRISTMAS,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,0.008108725445408863,0.3446601941747573,14.474075108844964
22952,60 CAKE CASES VINTAGE CHRISTMAS,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,0.007994518044769302,0.33980582524271846,6.701215778885682
22952,60 CAKE CASES VINTAGE CHRISTMAS,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.008451347647327547,0.3592233009708738,9.589509827137107
84991,60 TEATIME FAIRY CAKE CASES,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.005596162631338511,0.175,1.7501998857795544
84991,60 TEATIME FAIRY CAKE CASES,20725,LUNCH BAG RED RETROSPOT,0.005995888533576976,0.18749999999999997,2.9134871339840283
84991,60 TEATIME FAIRY CAKE CASES,84992,72 SWEETHEART FAIRY CAKE CASES,0.009079488350845134,0.372093023255814,17.453820598006644
84991,60 TEATIME FAIRY CAKE CASES,21976,PACK OF 60 MUSHROOM CAKE CASES,0.005025125628140704,0.15714285714285714,13.23021978021978
84991,60 TEATIME FAIRY CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.011649154865235267,0.437984496124031,14.306362058993637
84991,60 TEATIME FAIRY CAKE CASES,21213,PACK OF 72 SKULL CAKE CASES,0.00793741434444952,0.3643410852713178,14.33909407665505
84991,60 TEATIME FAIRY CAKE CASES,21975,PACK OF 60 DINOSAUR CAKE CASES,0.009821836455002285,0.3953488372093023,16.44167893961708
84991,60 TEATIME FAIRY CAKE CASES,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,0.00628140703517588,0.19642857142857142,8.93469387755102
84991,60 TEATIME FAIRY CAKE CASES,22423,REGENCY CAKESTAND 3 TIER,0.005139333028780265,0.1607142857142857,1.9904021014346331
84991,60 TEATIME FAIRY CAKE CASES,85099B,JUMBO BAG RED RETROSPOT,0.0051964367291000456,0.16249999999999998,1.8771108179419524
84991,60 TEATIME FAIRY CAKE CASES,22417,PACK OF 60 SPACEBOY CAKE CASES,0.007823206943809958,0.34108527131782945,17.883488836280925
84991,60 TEATIME FAIRY CAKE CASES,22951,60 CAKE CASES DOLLY GIRL DESIGN,0.006452718136135222,0.20178571428571426,12.711048304213772
84991,60 TEATIME FAIRY CAKE CASES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.014732754682503426,0.6762589928057554,17.453820598006644
84992,72 SWEETHEART FAIRY CAKE CASES,21213,PACK OF 72 SKULL CAKE CASES,0.005424851530379168,0.23058252427184464,9.033470167893833
84992,72 SWEETHEART FAIRY CAKE CASES,22951,60 CAKE CASES DOLLY GIRL DESIGN,0.0053677478300593875,0.22815533980582522,14.372145002444647
84992,72 SWEETHEART FAIRY CAKE CASES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.009821836455002285,0.6037735849056605,15.815759765184016
84992,72 SWEETHEART FAIRY CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,0.009079488350845134,0.5581395348837209,17.453820598006644
84992,72 SWEETHEART FAIRY CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.007823206943809958,0.33252427184466016,9.937141721064314
84992,72 SWEETHEART FAIRY CAKE CASES,21975,PACK OF 60 DINOSAUR CAKE CASES,0.008051621745089083,0.3422330097087379,14.068508136195817
84992,72 SWEETHEART FAIRY CAKE CASES,22417,PACK OF 60 SPACEBOY CAKE CASES,0.00548195523069895,0.23300970873786409,12.216964129992443
22725,ALARM CLOCK BAKELIKE CHOCOLATE,22729,ALARM CLOCK BAKELIKE ORANGE,0.005995888533576976,0.3559322033898305,19.297475993073412
22725,ALARM CLOCK BAKELIKE CHOCOLATE,22730,ALARM CLOCK BAKELIKE IVORY,0.007423481041571494,0.5111111111111111,23.239870176703928
22725,ALARM CLOCK BAKELIKE CHOCOLATE,22727,ALARM CLOCK BAKELIKE RED ,0.010849703060758336,0.7833333333333334,22.67001201121046
22725,ALARM CLOCK BAKELIKE CHOCOLATE,22726,ALARM CLOCK BAKELIKE GREEN,0.01027866605756053,0.7421052631578948,23.239870176703928
22725,ALARM CLOCK BAKELIKE CHOCOLATE,22728,ALARM CLOCK BAKELIKE PINK,0.007252169940612152,0.505263157894737,20.499353737349107
22726,ALARM CLOCK BAKELIKE GREEN,22727,ALARM CLOCK BAKELIKE RED ,0.02461169483782549,0.7833333333333334,18.75288220551379
22726,ALARM CLOCK BAKELIKE GREEN,47566,PARTY BUNTING,0.007023755139333029,0.1774891774891775,2.4454685099846394
22726,ALARM CLOCK BAKELIKE GREEN,22728,ALARM CLOCK BAKELIKE PINK,0.013704888076747372,0.4297872340425532,15.845124300111983
22726,ALARM CLOCK BAKELIKE GREEN,21212,PACK OF 72 RETROSPOT CAKE CASES,0.005881681132937414,0.14862914862914864,3.083878733167833
22726,ALARM CLOCK BAKELIKE GREEN,22382,LUNCH BAG SPACEBOY DESIGN ,0.005596162631338511,0.14141414141414144,2.910040475257867
22726,ALARM CLOCK BAKELIKE GREEN,22423,REGENCY CAKESTAND 3 TIER,0.007309273640931932,0.2134570765661253,16.25752025752026
22726,ALARM CLOCK BAKELIKE GREEN,22729,ALARM CLOCK BAKELIKE ORANGE,0.010735495660118775,0.2946635730858469,15.97569192532307
22726,ALARM CLOCK BAKELIKE GREEN,22725,ALARM CLOCK BAKELIKE CHOCOLATE,0.01027866605756053,0.39148936170212767,23.23987017670393
22726,ALARM CLOCK BAKELIKE GREEN,22730,ALARM CLOCK BAKELIKE IVORY,0.01341936957514847,0.5111111111111111,21.10985324947589
22726,ALARM CLOCK BAKELIKE GREEN,84879,ASSORTED COLOUR BIRD ORNAMENT,0.0053677478300593875,0.13564213564213565,1.987753204489606
22726,ALARM CLOCK BAKELIKE GREEN,79321,CHILLI LIGHTS,0.0051964367291000456,0.13131313131313133,4.535612535612536
22726,ALARM CLOCK BAKELIKE GREEN,20725,LUNCH BAG RED RETROSPOT,0.005824577432617634,0.1471861471861472,2.2870663793467703
22730,ALARM CLOCK BAKELIKE IVORY,22726,ALARM CLOCK BAKELIKE GREEN,0.01341936957514847,0.7076923076923077,21.109853249475893
22730,ALARM CLOCK BAKELIKE IVORY,22725,ALARM CLOCK BAKELIKE CHOCOLATE,0.007423481041571494,0.39148936170212767,23.23987017670393
22730,ALARM CLOCK BAKELIKE IVORY,22728,ALARM CLOCK BAKELIKE PINK,0.009707629054362723,0.4409448818897638,17.3812106918239
22730,ALARM CLOCK BAKELIKE IVORY,22727,ALARM CLOCK BAKELIKE RED ,0.014504339881224303,0.7461538461538462,21.08570009930487
22730,ALARM CLOCK BAKELIKE IVORY,22729,ALARM CLOCK BAKELIKE ORANGE,0.006909547738693468,0.3543307086614173,19.210648204578142
22729,ALARM CLOCK BAKELIKE ORANGE,22727,ALARM CLOCK BAKELIKE RED ,0.011534947464595706,0.743801652892562,19.210648204578142
22729,ALARM CLOCK BAKELIKE ORANGE,22730,ALARM CLOCK BAKELIKE IVORY,0.006909547738693468,0.44554455445544555,19.210648204578142
22729,ALARM CLOCK BAKELIKE ORANGE,22728,ALARM CLOCK BAKELIKE PINK,0.007651895842850617,0.4554455445544554,17.942223311134377
22729,ALARM CLOCK BAKELIKE ORANGE,22725,ALARM CLOCK BAKELIKE CHOCOLATE,0.005995888533576976,0.325077399380805,19.297475993073412
22729,ALARM CLOCK BAKELIKE ORANGE,22726,ALARM CLOCK BAKELIKE GREEN,0.010735495660118775,0.6287128712871287,15.97569192532307
22728,ALARM CLOCK BAKELIKE PINK,22729,ALARM CLOCK BAKELIKE ORANGE,0.007651895842850617,0.33093525179856115,17.942223311134374
22728,ALARM CLOCK BAKELIKE PINK,22725,ALARM CLOCK BAKELIKE CHOCOLATE,0.007252169940612152,0.3453237410071943,20.499353737349107
22728,ALARM CLOCK BAKELIKE PINK,22727,ALARM CLOCK BAKELIKE RED ,0.01587482868889904,0.7559055118110237,18.627722991689755
22728,ALARM CLOCK BAKELIKE PINK,22730,ALARM CLOCK BAKELIKE IVORY,0.009707629054362723,0.42083333333333334,17.3812106918239
22728,ALARM CLOCK BAKELIKE PINK,22423,REGENCY CAKESTAND 3 TIER,0.0051964367291000456,0.19157894736842104,2.3726524231370507
22728,ALARM CLOCK BAKELIKE PINK,47566,PARTY BUNTING,0.005025125628140704,0.18526315789473685,2.552579402873825
22728,ALARM CLOCK BAKELIKE PINK,22726,ALARM CLOCK BAKELIKE GREEN,0.013704888076747372,0.6258992805755397,15.845124300111983
22727,ALARM CLOCK BAKELIKE RED ,22382,LUNCH BAG SPACEBOY DESIGN ,0.005710370031978072,0.13157894736842107,2.7076504422042182
22727,ALARM CLOCK BAKELIKE RED ,22423,REGENCY CAKESTAND 3 TIER,0.008165829145728644,0.2134570765661253,16.561513157894737
22727,ALARM CLOCK BAKELIKE RED ,22728,ALARM CLOCK BAKELIKE PINK,0.01587482868889904,0.505263157894737,18.627722991689755
22727,ALARM CLOCK BAKELIKE RED ,23206,LUNCH BAG APPLE DESIGN,0.00553905893101873,0.12763157894736843,2.9721864501679733
22727,ALARM CLOCK BAKELIKE RED ,47566,PARTY BUNTING,0.0077661032434901784,0.17894736842105266,2.4655596505031268
22727,ALARM CLOCK BAKELIKE RED ,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0061671996345363175,0.14210526315789473,2.948515839361437
22727,ALARM CLOCK BAKELIKE RED ,20728,LUNCH BAG CARS BLUE,0.005082229328460484,0.11710526315789474,2.3042105263157895
